frame,id,x1,y1,x2,y2
23,19,891,232,926,306
23,21,614,406,651,508
23,22,891,232,925,307
24,2,694,164,726,234
24,3,1060,194,1095,258
24,4,564,412,612,488
24,5,323,268,353,351
24,6,1152,359,1210,450
24,7,975,93,991,139
24,8,1160,138,1188,195
24,9,629,163,662,224
24,10,929,207,959,276
24,11,927,204,959,277
24,12,905,431,972,521
24,13,618,403,668,508
24,14,819,102,845,157
24,15,836,56,855,100
24,16,511,459,565,522
24,19,897,232,930,306
24,22,897,233,929,306
25,1,1160,360,1194,434
25,2,695,163,729,235
25,3,1062,196,1096,256
25,4,555,412,608,488
25,5,319,267,353,352
25,6,1156,397,1185,449
25,7,977,91,994,139
25,8,1162,138,1193,195
25,9,632,163,663,225
25,10,930,208,956,276
25,11,927,204,959,277
25,12,904,431,959,520
25,13,614,404,670,506
25,14,820,103,849,158
25,15,838,57,857,101
25,16,508,461,553,521
25,19,897,232,930,306
25,22,901,233,931,307
26,1,977,105,992,140
26,2,696,164,730,235
26,3,1061,198,1092,255
26,4,552,413,605,488
26,5,309,267,352,352
26,6,1151,360,1188,449
26,7,978,92,994,137
26,8,1165,137,1196,195
26,9,634,163,663,224
26,10,929,209,951,274
26,11,822,104,851,158
26,12,898,431,939,520
26,13,607,405,668,507
26,14,822,103,851,158
26,15,838,59,856,102
26,16,506,458,553,522
26,19,897,232,930,306
26,22,903,234,931,307
27,1,651,488,666,503
27,2,696,164,730,235
27,3,1059,200,1088,260
27,4,551,416,606,489
27,5,303,269,348,352
27,6,1142,359,1182,450
27,7,974,92,993,141
27,8,1167,137,1197,196
27,9,634,163,660,224
27,10,927,209,945,275
27,11,822,104,851,158
27,12,883,431,927,521
27,13,604,408,655,498
27,14,822,105,851,158
27,15,838,61,854,102
27,16,496,457,545,522
27,22,903,234,933,307
28,1,651,488,666,503
28,2,697,164,729,235
28,3,1059,200,1083,260
28,4,547,417,605,488
28,5,301,269,343,353
28,6,1124,358,1175,450
28,7,973,94,991,140
28,8,1170,137,1202,197
28,9,635,162,655,223
28,10,922,209,943,275
28,11,822,104,851,158
28,12,865,430,929,520
28,13,604,408,655,498
28,14,822,106,851,158
28,15,836,61,852,101
28,16,483,452,544,523
28,21,594,411,643,502
28,22,903,233,933,306
29,1,647,485,661,501
29,2,696,165,726,234
29,3,1056,198,1078,260
29,4,548,417,600,487
29,5,302,271,335,354
29,6,1108,359,1167,450
29,7,972,94,990,140
29,8,1170,138,1203,197
29,9,634,162,651,223
29,10,917,208,942,275
29,11,851,428,897,494
29,12,851,428,912,509
29,13,479,449,537,525
29,14,821,106,848,158
29,15,834,60,849,103
29,16,496,449,538,508
29,19,848,471,878,515
29,21,589,412,638,506
29,22,902,232,935,306
30,1,643,484,658,500
30,2,697,163,722,233
30,3,1053,197,1076,261
30,4,584,414,640,503
30,5,300,270,328,354
30,6,1098,361,1159,447
30,7,970,95,988,141
30,8,1170,139,1202,198
30,9,633,162,648,224
30,10,912,209,940,275
30,11,831,427,884,490
30,12,829,432,880,516
30,13,479,449,537,525
30,14,821,106,846,158
30,15,831,57,847,103
30,16,479,445,532,526
30,19,829,463,866,515
30,21,548,414,598,488
30,22,901,233,938,307
31,1,641,483,655,498
31,2,696,163,717,232
31,3,1049,198,1072,261
31,4,548,411,593,489
31,5,296,271,323,353
31,6,1088,364,1151,448
31,7,969,95,986,141
31,8,1170,140,1202,198
31,9,629,162,646,224
31,10,907,208,930,245
31,11,837,426,869,490
31,12,816,426,868,511
31,13,479,449,537,525
31,14,820,104,843,157
31,15,826,57,845,102
31,16,480,443,527,526
31,19,829,463,866,515
31,21,548,414,598,488
31,22,900,232,936,307
32,1,639,483,652,497
32,2,694,163,712,233
32,3,1043,197,1070,263
32,4,549,407,604,495
32,5,290,270,318,354
32,6,1087,365,1140,448
32,7,966,96,984,140
32,8,1169,141,1202,198
32,9,621,162,644,225
32,10,900,209,922,254
32,11,828,425,854,489
32,12,816,426,868,511
32,14,820,104,840,157
32,15,822,57,843,102
32,16,478,440,520,526
32,19,814,472,834,520
32,21,576,454,603,504
32,22,900,232,933,307
33,1,639,483,652,497
33,2,691,163,708,232
33,3,1038,197,1067,264
33,4,547,404,604,501
33,5,283,270,314,357
33,6,1087,364,1134,447
33,7,962,96,982,142
33,8,1168,141,1201,198
33,9,618,163,643,225
33,10,893,210,917,279
33,11,810,425,835,520
33,12,811,423,859,520
33,14,819,104,837,157
33,15,818,57,841,102
33,16,471,437,516,525
33,19,814,472,834,520
33,21,573,426,603,506
33,22,902,234,932,307
34,1,639,483,652,497
34,2,685,163,707,232
34,3,1037,199,1063,264
34,4,539,408,594,506
34,5,278,271,309,357
34,6,1087,363,1127,448
34,7,961,95,981,142
34,8,1167,141,1201,198
